Name,Code,Instructor,School,Department,Semester,Term,Time,Description
Introduction to African American Studies,AFRAMER 10,West,FAS,African & African Amer Studies,2020 Spring,Full Term,9:00am - 11:45am,"This course will examine canonical texts of the Afro-American intellectual tradition. W.E.B.Du Bois, Lorraine Hansberry, and James Baldwin will set the scene and stage for other towering figures such as Walker, Douglass, Morrison, Wright, Drake, Frazier, Lorde, Wilson, Gates, Cooper, Baraka (Jones), Malcolm X, and others."
Introduction to African Studies,AFRAMER 11,Agbiboa,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"This course introduces students to the general outlines of African archeology, history and geography, as well as key concepts in the study of African health, social life , economic situation, arts, and politics. Our aim is to give students a fundamental vocabulary and interdisciplinary methodology for the study of Africa. Throughout, we assume that Africa is not a unique isolate but a continent bubbling with internal diversity, historical change, and cultural connections beyond its shores. The c"
Introduction to African Languages and Cultures,AFRAMER 20,Mugane,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"This introduction to African languages and cultures explores how sub-Saharan Africans use language to understand, organize, and transmit (culture, history, etc.) indigenous knowledge to successive generations. Language serves as a road map to comprehending how social, political, and economic institutions and processes develop: from kinship structures and the evolution of political offices to trade relations and the transfer of environmental knowledge. As a Social Engagement course, AAAS 20 will"
Supervised Reading and Research,AFRAMER 91R,Blier,FAS,African & African Amer Studies,2019 Fall,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Supervised Reading and Research,AFRAMER 91R,Blier,FAS,African & African Amer Studies,2020 Spring,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
"Sophomore Tutorial: Concepts, Themes and Theories in African American Studies",AFRAMER 97,Monson,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"This seminar introduces a wide range of key concepts that appear as themes throughout the study of African American life and research on peoples of African descent. Topics such as the social construction of race, intersectionality, the African diaspora, nationalism and other ideas are critical to understanding African American studies from an interdisciplinary perspective. The focus will be on ideas relevant to the social sciences and to the historical development of the African American experie"
Junior Tutorial - African American Studies,AFRAMER 98,Blier,FAS,African & African Amer Studies,2019 Fall,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African American Studies,AFRAMER 98,Blier,FAS,African & African Amer Studies,2020 Spring,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African Studies,AFRAMER 98A,Blier,FAS,African & African Amer Studies,2019 Fall,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Junior Tutorial - African Studies,AFRAMER 98A,Blier,FAS,African & African Amer Studies,2020 Spring,Full Term,,"Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
